,sphere,clear_position,ide,pib
176,Державна інспекція ядерного регулювання України,заступник начальника відділу,6,6
177,Державна інспекція ядерного регулювання України,заступник начальника управління,3,3
178,Державна інспекція ядерного регулювання України,начальник відділу,5,5
179,Державна інспекція ядерного регулювання України,начальник управління,4,4
180,Державна інспекція ядерного регулювання України,провідний спеціаліст,1,1
182,Державне агентство рибного господарства України,в.о. начальника управління,1,1
183,Державне агентство рибного господарства України,головний державний інспектор,34,34
184,Державне агентство рибного господарства України,головний спеціаліст,18,18
185,Державне агентство рибного господарства України,державний інспектор,2,2
186,Державне агентство рибного господарства України,завідувач сектору,2,2
187,Державне агентство рибного господарства України,заступник начальника відділу,5,5
188,Державне агентство рибного господарства України,начальник відділу,7,7
189,Державне агентство рибного господарства України,провідний державний інспектор,6,6
190,Державне агентство рибного господарства України,старший державний інспектор,1,1
191,Міністерство внутрішніх справ України,головний спеціаліст,12,12
192,Міністерство внутрішніх справ України,заступник начальника відділу,3,3
194,Міністерство захисту довкілля та природних ресурсів України,головний спеціаліст,9,9
195,Міністерство захисту довкілля та природних ресурсів України,директор департаменту,1,1
196,Міністерство захисту довкілля та природних ресурсів України,заступник директора департаменту,2,2
197,Міністерство захисту довкілля та природних ресурсів України,начальник відділу,1,1
199,Міністерство охорони здоров'я України,головний спеціаліст,2,2
200,Міністерство охорони здоров'я України,начальник відділу,1,1
202,"Міністерство розвитку економіки, торгівлі та сільського господарства України",головний спеціаліст,3,3
203,"Міністерство розвитку економіки, торгівлі та сільського господарства України",заступник начальника відділу,2,2
205,Національна комісія з цінних паперів та фондового ринку,головний спеціаліст,5,5
206,Національна комісія з цінних паперів та фондового ринку,директор департаменту,1,1
207,Національна комісія з цінних паперів та фондового ринку,заступник директора департаменту,2,2
208,Національна комісія з цінних паперів та фондового ринку,заступник начальника відділу,1,1
209,Національна комісія з цінних паперів та фондового ринку,начальник відділу,3,3
210,"Національна комісія, що здійснює державне регулювання у сферах енергетики та комунальних послуг",головний спеціаліст,13,13
211,"Національна комісія, що здійснює державне регулювання у сферах енергетики та комунальних послуг",державний інспектор,1,1
212,"Національна комісія, що здійснює державне регулювання у сферах енергетики та комунальних послуг",завідувач сектору,2,2
213,"Національна комісія, що здійснює державне регулювання у сферах енергетики та комунальних послуг",начальник відділу,1,1
