,pib,clear_position,sphere,viol_sum,insp_count,short_name
3162,Казарінова Олена Євгенівна,головний спеціаліст,Державна служба України з лікарських засобів та контролю за наркотиками,128.0,23,Держлікслужба
3163,Казимір Микола Миколайович,головний державний інспектор,Державна служба України з питань праці,8.0,19,Держпраці
3164,Казьмірик Юрій Анатолійовичич,головний інспектор,Державна служба України з надзвичайних ситуацій,74.0,10,ДСНС
3165,Кайдан Володимир Мирославович,головний державний інспектор,Державна служба України з питань праці,1757.0,48,Держпраці
3166,Кайдашов О.А.,державний інспектор,Державна екологічна інспекція України,9.0,2,Держекоінспекція
3167,Кайнара О.В.,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,1.0,5,Держпродспоживслужба
3168,Кайнов Едуард Валерійович,головний державний інспектор,Державна служба України з питань праці,1044.0,34,Держпраці
3169,Кайнога Янн Олександрович,заступник начальника відділу,Відділи праці органів місцевого самоврядування,0.0,3,ВП ОМС
3170,Кайряк Наталя Миколаївна,фельдшер санітарний,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,13.0,21,Держпродспоживслужба
3171,Калабухов Сергій Володимирович,головний державний інспектор,Державна служба України з питань праці,843.0,49,Держпраці
3172,Калапунь Тарас Васильович,заступник начальника управління,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,1,Держпродспоживслужба
3173,Калашник Г.М.,головний державний інспектор,Державна служба України з питань праці,406.0,1,Держпраці
3174,Калашник Ганна Миколаївна,головний державний інспектор,Державна служба України з питань праці,3671.0,81,Держпраці
3175,Калашник Денис Ігорович,начальник відділу,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,7.0,7,Держпродспоживслужба
3176,Калашник Костянтин Васильович,начальник відділу,"Державна служба України з питань геодезії, картографії та кадастру",13.0,7,Держгеокадастр
3177,Калашник Олена Миколаївна,провідний інспектор,Державна служба України з надзвичайних ситуацій,104.0,11,ДСНС
3178,Калаянов Леонід Федорович,провідний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,7.0,1,Держпродспоживслужба
3179,Калганов Андрій Петрович,головний державний інспектор,Державна служба України з питань праці,480.0,51,Держпраці
3180,Каленський Олексій Анатолійович,заступник начальника відділу,Державна служба України з надзвичайних ситуацій,116.0,10,ДСНС
3181,Каленюк Максим Степанович,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,37.0,53,Держпродспоживслужба
3182,Каленюк Сергій Олександрович,заступник начальника відділу,Державна служба України з надзвичайних ситуацій,43.0,9,ДСНС
3183,Калиниченко Юлія Анатоліївна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,2,Держпродспоживслужба
3184,Калинюк Вікторія Дмитрівна,головний спеціаліст,Пенсійний фонд України,23.0,23,ПФУ
3185,Калита Андрій Михайлович,головний інспектор,Державна служба України з надзвичайних ситуацій,305.0,47,ДСНС
3186,Калита Ірина В’Ячеславівна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,4.0,25,Держпродспоживслужба
3187,Калиушко Лариса Аркадіївна,заступник начальника відділу,Державна інспекція ядерного регулювання України,6.0,3,Держатомрегулювання
3188,Калмиков Олександр Олександрович,начальник відділу,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,2.0,4,Держпродспоживслужба
3189,Калько Тетяна Микитівна,головний спеціаліст,Пенсійний фонд України,4.0,7,ПФУ
3190,Кальченко Ю.М.,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,2,Держпродспоживслужба
3191,Калюжний Максим Вікторович,провідний інспектор,Державна служба України з надзвичайних ситуацій,348.0,17,ДСНС
3192,Калюжний Олег Анатолійович,головний інспектор,Державна служба України з надзвичайних ситуацій,856.0,36,ДСНС
3193,Каліберда Денис Миколайович,начальник відділу,Державна служба України з питань праці,113.0,2,Держпраці
3194,Каліберда Людмила Олександрівна,директор школи,Державна служба України з питань якості освіти,16.0,1,ДСЯО
3195,Каліберда Олена Валентинівна,провідний фахівець,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,2.0,5,Держпродспоживслужба
3196,Калін О.Д.,спеціаліст,Пенсійний фонд України,20.0,23,ПФУ
3197,Калінчук Т.В.,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,2,Держпродспоживслужба
3198,Калінін Євгеній Ігорович,провідний інспектор,Державна служба України з надзвичайних ситуацій,263.0,19,ДСНС
3199,Калініна Олена Михайлівна,державний інспектор,Державна екологічна інспекція України,90.0,8,Держекоінспекція
3200,Калініченко Наталія Анатоліївна,головний спеціаліст,Пенсійний фонд України,13.0,13,ПФУ
3201,Калініченко Олена Олегівна,заступник начальника відділу,Національна комісія з цінних паперів та фондового ринку,1.0,1,НКЦПФР
3202,Калініченко Сергій Леонідович,начальник відділу,Державна екологічна інспекція України,193.0,12,Держекоінспекція
3203,Калітуріна Ріта Василівна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,124.0,45,Держпродспоживслужба
3204,Калітінська Олена Антонівна,головний спеціаліст,Державна екологічна інспекція України,0.0,1,Держекоінспекція
3205,Калічак Олег Миколайович,державний інспектор,Державна екологічна інспекція України,1.0,1,Держекоінспекція
3206,Каманов Геннадій Анатолійович,головний інспектор,Державна служба України з надзвичайних ситуацій,292.0,27,ДСНС
3207,Камаралі Данило Юрійович,провідний фахівець,Державна служба України з надзвичайних ситуацій,456.0,12,ДСНС
3208,Камдіна Тетяна Олегівна,головний державний інспектор,Державна служба України з питань праці,108.0,16,Держпраці
3209,Каменецька І.В.,державний інспектор,Державна екологічна інспекція України,56.0,9,Держекоінспекція
3210,Каменський Сергій Іванович,головний інспектор,Управління державного архітектурно-будівельного контролю органів місцевого самоврядування,1.0,5,УДАБК ОМС
3211,Камишан Інна Сергіївна,начальник відділу,Державна служба України з питань якості освіти,103.0,6,ДСЯО
3212,Камлук Світлана В’Ячеславівна,провідний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,1.0,10,Держпродспоживслужба
3213,Камінський В.В.,заступник начальника відділу,Державна екологічна інспекція України,18.0,8,Держекоінспекція
3214,Камінський Дмитро Євгенович,заступник начальника відділу,Державне агентство рибного господарства України,2.0,2,Держрибагенство
3215,Камінський Олег Володимирович,заступник директора департаменту,Національна комісія з цінних паперів та фондового ринку,1.0,1,НКЦПФР
3216,Канафоцький Роман Ігорович,головний інспектор,Державна служба України з надзвичайних ситуацій,394.0,20,ДСНС
3217,Кандела Василь Григорович,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,3.0,1,Держпродспоживслужба
3218,Кандиба Михайло Юрійович,головний державний інспектор,Державна служба України з питань праці,29.0,12,Держпраці
3219,Канський Олександр Сергійович,головний спеціаліст,"Державна служба України з питань геодезії, картографії та кадастру",7.0,9,Держгеокадастр
3220,Канцедал Євген Іванович,начальник відділу,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,9.0,6,Держпродспоживслужба
3221,Каньшина Олена Костянтинівна,головний спеціаліст,"Державна служба України з питань геодезії, картографії та кадастру",16.0,15,Держгеокадастр
3222,Канюка Ярослав Степанович,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,35.0,6,Держпродспоживслужба
3223,Каніщева Ярина Миколаївна,головний спеціаліст,Національна комісія з цінних паперів та фондового ринку,4.0,2,НКЦПФР
3224,Капленко Лариса Павлівна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,17.0,33,Держпродспоживслужба
3225,Капленко Лариса Павлівна,провідний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,4.0,2,Держпродспоживслужба
3226,Капля О.В.,фельдшер санітарний,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,4.0,79,Держпродспоживслужба
3227,Каплінська Анна Олександрівна,головний спеціаліст,"Державна служба України з питань геодезії, картографії та кадастру",3.0,2,Держгеокадастр
3228,Капральчук Сергій Володимирович,інспектор,Державна служба України з надзвичайних ситуацій,147.0,13,ДСНС
3229,Капран Анатолій Миколайович,фахівець,Державна служба України з надзвичайних ситуацій,349.0,25,ДСНС
3230,Капран Олена Юріївна,головний спеціаліст,Державна екологічна інспекція України,164.0,24,Держекоінспекція
3231,Капуста Світлана Валеріївна,заступник начальника відділу,Державна служба України з питань праці,104.0,76,Держпраці
3232,Капустін Олексій Володимирович,фахівець,Державна служба України з надзвичайних ситуацій,231.0,30,ДСНС
3233,Капушенко Олександр Володимирович,провідний інспектор,Державна служба України з надзвичайних ситуацій,419.0,49,ДСНС
3234,Капінос Н.,головний спеціаліст,Державна екологічна інспекція України,62.0,9,Держекоінспекція
3235,Капінос Наталія Анатоліївна,головний спеціаліст,Державна екологічна інспекція України,44.0,10,Держекоінспекція
3236,Капінос Ігор Андрійович,головний інспектор,Управління державного архітектурно-будівельного контролю органів місцевого самоврядування,0.0,8,УДАБК ОМС
3237,Капінус Вікторія Павлівна,головний державний інспектор,Державна служба України з питань праці,38.0,46,Держпраці
3238,Капітонова Галина Володимирівна,лікар,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,1.0,7,Держпродспоживслужба
3239,Капітула Павло Миколайович,головний державний інспектор,Державна служба України з питань праці,0.0,2,Держпраці
3240,Карабаджак Оксана Вячеславівна,державний інспектор,Державна екологічна інспекція України,92.0,41,Держекоінспекція
3241,Карабан Оксана Григорівна,головний державний інспектор,Державна служба України з питань праці,36.0,66,Держпраці
3242,Карабут Р.С.,провідний спеціаліст,Пенсійний фонд України,52.0,65,ПФУ
3243,Караван Олександр Анатолієвич,начальник відділу,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,12,Держпродспоживслужба
3244,Карамін Віталій Вікторович,головний державний інспектор,Державна служба України з питань праці,0.0,1,Держпраці
3245,Карапіра Микола Петрович,головний державний інспектор,Державна служба України з питань праці,20.0,5,Держпраці
3246,Карась Олексій Олегович,провідний інспектор,Державна служба України з надзвичайних ситуацій,194.0,14,ДСНС
3247,Карась Сергій Іванович,державний інспектор,"Державна служба України з питань геодезії, картографії та кадастру",0.0,1,Держгеокадастр
3248,Карасьов Андрій Олегович,заступник начальника відділу,Державна служба України з надзвичайних ситуацій,42.0,2,ДСНС
3249,Карасьов Андрій Олегович,начальник відділу,Державна служба України з надзвичайних ситуацій,358.0,1,ДСНС
3250,Карасьов Юрій Євгенович,головний державний інспектор,Державна служба України з питань праці,507.0,48,Держпраці
3251,Каратуманов Дмитро Олегович,головний державний інспектор,Державна служба України з питань праці,7.0,8,Держпраці
3252,Карачевцева Юлія Вікторівна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,10.0,16,Держпродспоживслужба
3253,Карачун Андрій Валерійович,провідний інспектор,Державна служба України з надзвичайних ситуацій,270.0,29,ДСНС
3254,Караєва Марина Георгіївна,головний спеціаліст,Пенсійний фонд України,0.0,13,ПФУ
3255,Кардаш Сергій Миколайович,провідний інспектор,Державна служба України з надзвичайних ситуацій,1161.0,128,ДСНС
3256,Карелов Олексій Миколайович,головний спеціаліст,Державна служба геології та надр України,5.0,5,Держгеонадра
3257,Карецька Олена Юріївна,державний інспектор,Державна екологічна інспекція України,380.0,36,Держекоінспекція
3258,Карлаш Анатолій Іванович,головний державний інспектор,Державна служба України з питань праці,483.0,56,Держпраці
3259,Карловець С,заступник начальника відділу,Державна екологічна інспекція України,2.0,14,Держекоінспекція
3260,Карловець С.М.,заступник начальника відділу,Державна екологічна інспекція України,36.0,16,Держекоінспекція
3261,Кармазін Вадим Миколайович,головний державний інспектор,Державна служба України з питань праці,154.0,24,Держпраці
3262,Кармазін Вячеслав Миколайович,начальник відділу,Державна служба України з питань праці,2.0,1,Держпраці
3263,Карманова Світлана Василівна,головний державний інспектор,Державна служба України з питань праці,617.0,32,Держпраці
3264,Карманюк Валерій Миколайович,головний державний інспектор,Державна служба України з питань праці,194.0,6,Держпраці
3265,Карнаух Сергій Григорович,головний інспектор,Державна служба України з надзвичайних ситуацій,142.0,22,ДСНС
3266,Карнаух Тетяна Юріївна,головний державний інспектор,Державна служба України з питань праці,0.0,1,Держпраці
3267,Карп'Як Ольга Анатоліївна,начальник відділу,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,11.0,60,Держпродспоживслужба
3268,Карпенко Анатолій Андрійович,начальник відділу,Державна служба України з питань праці,300.0,25,Держпраці
3269,Карпенко Анна Михайлівна,начальник управління,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,3,Держпродспоживслужба
3270,Карпенко Володимир Миколайович,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,4,Держпродспоживслужба
3271,Карпенко Вікторія Юріївна,старший інспектор,Державна служба України з надзвичайних ситуацій,73.0,5,ДСНС
3272,Карпенко Віталій Леонідович,головний інспектор,Державна служба України з надзвичайних ситуацій,304.0,29,ДСНС
3273,Карпенко Г.В,старший державний інспектор,Державна екологічна інспекція України,0.0,1,Держекоінспекція
3274,Карпенко Галина Віталіївна,старший державний інспектор,Державна екологічна інспекція України,17.0,2,Держекоінспекція
3275,Карпенко Галина Олександрівна,головний інспектор,Державна служба України з надзвичайних ситуацій,697.0,31,ДСНС
3276,Карпенко Любов Олександрівна,головний спеціаліст,Державна екологічна інспекція України,0.0,2,Держекоінспекція
3277,Карпенко Людмила Анатоліївна,провідний лікар,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,20,Держпродспоживслужба
3278,Карпенко Максим Миколайович,головний спеціаліст,Відділи праці органів місцевого самоврядування,0.0,1,ВП ОМС
3279,Карпенко Н.М.,провідний фахівець,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,10.0,34,Держпродспоживслужба
3280,Карпенко Наталія Валентинівна,головний спеціаліст,Державна екологічна інспекція України,28.0,12,Держекоінспекція
3281,Карпенко Наталія Михайлівна,провідний фахівець,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,173.0,45,Держпродспоживслужба
3282,Карпенко О.П.,лікар,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,22,Держпродспоживслужба
3283,Карпенко Олена Олександрівна,помічник лікаря,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,3.0,19,Держпродспоживслужба
3284,Карпенко Ольга Павлівна,лікар,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,27,Держпродспоживслужба
3285,Карпенко Світлана Олександрівна,помічник лікаря,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,3,Держпродспоживслужба
3286,Карпенко Тарас Олександрович,головний інспектор,Державна служба України з надзвичайних ситуацій,448.0,56,ДСНС
3287,Карпенко Ярослав Сергійович,головний державний інспектор,Державна служба України з питань праці,14.0,36,Держпраці
3288,Карпенко Ірина Анатоліївна,головний державний інспектор,Державна служба України з питань праці,3.0,34,Держпраці
3289,Карпин І.І.,головний державний інспектор,Державна служба України з питань праці,113.0,2,Держпраці
3290,Карпин Ігор Іванович,головний державний інспектор,Державна служба України з питань праці,1288.0,72,Держпраці
3291,Карпинський Геннадій Васильович,начальник відділу,Державна служба України з питань праці,521.0,27,Держпраці
3292,Карпов Анатолій Олександрович,головний спеціаліст,"Державна служба України з питань геодезії, картографії та кадастру",12.0,13,Держгеокадастр
3293,Карпова Галина Анатоліївна,головний державний інспектор,Державна служба України з питань праці,14.0,45,Держпраці
3294,Карпова Людмила Миколаївна,головний спеціаліст,Пенсійний фонд України,12.0,13,ПФУ
3295,Карпова Лілія Іванівна,головний спеціаліст,Пенсійний фонд України,19.0,120,ПФУ
3296,Карпович Світлана Іванівна,головний спеціаліст,Пенсійний фонд України,3.0,3,ПФУ
3297,Карповський Ігор Миколайович,інспектор,Державна служба України з надзвичайних ситуацій,151.0,1,ДСНС
3298,Карпюк Валерій Сергійович,провідний інспектор,Державна служба України з надзвичайних ситуацій,97.0,13,ДСНС
3299,Карсаков Олексій Леонідович,заступник начальника відділу,Пенсійний фонд України,3.0,11,ПФУ
3300,Каруна В.М.,начальник управління,Державна служба України з надзвичайних ситуацій,468.0,26,ДСНС
3301,Карчевський Євген Борисович,старший державний інспектор,Державна екологічна інспекція України,1.0,1,Держекоінспекція
3302,Карчук Олександр Вікторович,головний державний інспектор,Державна служба України з питань праці,158.0,23,Держпраці
3303,Кас'Янова Аліна Володимирівна,фахівець,Державна служба України з надзвичайних ситуацій,93.0,11,ДСНС
3304,Касаткіна Тетяна Олександрівна,завідувач сектору,Державна екологічна інспекція України,14.0,9,Держекоінспекція
3305,Касаткіна Тетяна Олександрівна,заступник начальника відділу,"Державна служба України з питань геодезії, картографії та кадастру",4.0,1,Держгеокадастр
3306,Касинець Василь Васильович,фахівець,Державна служба України з надзвичайних ситуацій,257.0,9,ДСНС
3307,Касперович Дмитро Валерійович,начальник відділу,Державна служба України з питань праці,64.0,11,Держпраці
3308,Каспрук Володимир,старший державний інспектор,"Державна служба України з питань геодезії, картографії та кадастру",10.0,1,Держгеокадастр
3309,Каспрук Володимир Святославович,заступник начальника відділу,"Державна служба України з питань геодезії, картографії та кадастру",6.0,5,Держгеокадастр
3310,Кастранець Андрій Михайлович,головний інспектор,Державна служба України з надзвичайних ситуацій,523.0,28,ДСНС
3311,Касьян Олексій Олександрович,провідний інспектор,Державна служба України з надзвичайних ситуацій,16.0,17,ДСНС
3312,Касьян Юрій Дмитрович,головний державний інспектор,Державна служба України з питань праці,1113.0,39,Держпраці
3313,Касьян І.В.,головний державний інспектор,Державна служба України з питань праці,511.0,2,Держпраці
3314,Касьян Інна Володимирівна,головний державний інспектор,Державна служба України з питань праці,312.0,20,Держпраці
3315,Касьяненко Тетяна Вікторівна,начальник відділу,Державна служба України з питань праці,704.0,8,Держпраці
3316,Касьянов Іван Олександрович,головний державний інспектор,Державна служба України з питань праці,14.0,10,Держпраці
3317,Касьянова Аліна Сергіївна,головний спеціаліст,"Державна служба України з питань геодезії, картографії та кадастру",3.0,4,Держгеокадастр
3318,Касянюк В. Ф.,провідний фахівець,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,11.0,35,Держпродспоживслужба
3319,Касянюк Валентина Федорівна,провідний фахівець,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,48.0,41,Держпродспоживслужба
3320,Касянюк Сергій Михайлович,провідний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,2,Держпродспоживслужба
3321,Касілов Павло Вікторович,старший державний інспектор,Державна екологічна інспекція України,102.0,25,Держекоінспекція
3322,Касіян Любов Степанівна,заступник начальника відділу,Державна служба України з питань якості освіти,3.0,1,ДСЯО
3323,Кателевська Наталія Геннадіївна,головний спеціаліст,Державна інспекція ядерного регулювання України,0.0,1,Держатомрегулювання
3324,Катеренчук Наталія Миколаївна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,1.0,14,Держпродспоживслужба
3325,Катеринич Надія Вікторівна,головний державний інспектор,Державна служба України з питань праці,1.0,1,Держпраці
3326,Катинський Ярослав Михайлович,начальник відділу,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,4.0,7,Держпродспоживслужба
3327,Катюбін Богдан Аністратович,начальник відділу,Державна екологічна інспекція України,99.0,23,Держекоінспекція
3328,Катюбін Марія Миронівна,головний спеціаліст,Державна екологічна інспекція України,3.0,5,Держекоінспекція
3329,Катюха Ірина Віталіївна,головний спеціаліст,Пенсійний фонд України,10.0,10,ПФУ
3330,Кафтан Л.А.,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,39.0,176,Держпродспоживслужба
3331,Кафтан Людмила Анатоліївна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,53.0,198,Держпродспоживслужба
3332,Кац Валентина Володимирівна,головний державний інспектор,Державна служба України з питань праці,205.0,30,Держпраці
3333,Качала Володимир Володимирович,провідний інспектор,Державна служба України з надзвичайних ситуацій,90.0,6,ДСНС
3334,Качан Віталій Леонідович,провідний фахівець,Державна служба України з надзвичайних ситуацій,140.0,27,ДСНС
3335,Качан Галина Анатоліївна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,1.0,2,Держпродспоживслужба
3336,Качан Дмитро Олегович,провідний інспектор,Державна служба України з надзвичайних ситуацій,297.0,37,ДСНС
3337,Качан Сергій Сергійович,провідний інспектор,Державна служба України з надзвичайних ситуацій,487.0,56,ДСНС
3338,Качанова Л.П,начальник відділу,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,4.0,2,Держпродспоживслужба
3339,Качанова Лариса Петрівна,начальник управління,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,3.0,11,Держпродспоживслужба
3340,Качаровський Микола Геннадійович,головний державний інспектор,Державна служба України з питань праці,65.0,36,Держпраці
3341,Качекан Дмитро Федорович,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,7.0,98,Держпродспоживслужба
3342,Качкарова Лариса Миколаївна,начальник відділу,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,36.0,11,Держпродспоживслужба
3343,Качковський В.М.,головний державний інспектор,Державна служба України з питань праці,4.0,2,Держпраці
3344,Качковський Віктор Михайлович,головний державний інспектор,Державна служба України з питань праці,73.0,32,Держпраці
3345,Качмар М. І.,лікар,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,0.0,3,Держпродспоживслужба
3346,Качуровський Олександр Олександрович,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,3.0,162,Держпродспоживслужба
3347,Кашпуренко Тетяна Володимирівна,головний спеціаліст,Пенсійний фонд України,15.0,17,ПФУ
3348,Кашуба Роман Володимирович,провідний інспектор,Державна служба України з надзвичайних ситуацій,1292.0,51,ДСНС
3349,Кашівська Марія Степанівна,заступник начальника відділу,Пенсійний фонд України,1.0,1,ПФУ
3350,Кащук Валентина Миколаївна,начальник відділу,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,32.0,195,Держпродспоживслужба
3351,Кварцянний Володимир Ярославович,начальник управління,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,85.0,51,Держпродспоживслужба
3352,Квасильчук Олександр Миколайович,начальник відділу,Державне агентство рибного господарства України,8.0,5,Держрибагенство
3353,Квасницька Марина Володимирівна,головний державний інспектор,Управління державного архітектурно-будівельного контролю органів місцевого самоврядування,0.0,1,УДАБК ОМС
3354,Кваснюк Святослав Романович,головний державний інспектор,Державна служба України з питань праці,211.0,20,Держпраці
3355,Квач Олександр Сергійович,провідний інспектор,Державна служба України з надзвичайних ситуацій,248.0,27,ДСНС
3356,Квач Олексій Миколайович,головний спеціаліст,Пенсійний фонд України,13.0,19,ПФУ
3357,Квятковська Олена Миколаївна,провідний інспектор,Державна служба України з надзвичайних ситуацій,0.0,1,ДСНС
3358,Квятковський Олександр Вікторович,головний державний інспектор,Державне агентство рибного господарства України,2.0,3,Держрибагенство
3359,Квік Олександра Дмитрівна,головний спеціаліст,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,4.0,13,Держпродспоживслужба
